object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,priviledged_flow
process_memory,['/lib/systemd/systemd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['--prefix=/net/ipv4/neigh/veth22106e0', '--prefix=/net/ipv6/conf/veth023fbcd', '--prefix=/net/ipv6/conf/veth22106e0', '--prefix=/net/ipv4/conf/veth023fbcd', '--prefix=/net/ipv4/neigh/veth023fbcd', '--prefix=/net/ipv6/neigh/veth023fbcd', '--prefix=/net/ipv6/neigh/veth22106e0', '--prefix=/net/ipv4/conf/veth22106e0', '/lib/systemd/systemd-sysctl']",0
process_memory,['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],[],0
process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],['memory_write'],[],[],0
file,['/var/lib/docker/overlay2/2a1694dc562eb2561e8d91f2a2a76cf1af06db89885f6f583d78337f6d9dec45-init/diff/etc/hostname'],"['/', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],0
file,['/var/lib/docker/overlay2/2a1694dc562eb2561e8d91f2a2a76cf1af06db89885f6f583d78337f6d9dec45-init/diff/etc/resolv.conf'],"['/', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],0
file,['/var/lib/docker/overlay2/2a1694dc562eb2561e8d91f2a2a76cf1af06db89885f6f583d78337f6d9dec45-init/diff/etc/hosts'],"['/', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],0
process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['clone_mem', 'memory_write']",[],[],0
file,"['/systemd/netif/.#statepNutoK', '/systemd/netif/state']",['/bin/networkctl'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]",['perm_check'],"['write', 'rename']",[],[],0
file,"['/systemd/netif/links/8', '/systemd/netif/links/.#8rAFTUR']","['/usr/bin/python3.6', '/lib/systemd/systemd-resolved']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'getattr', 'perm_check', 'read']","['write', 'rename']",[],"['list', '--no-legend', '/bin/networkctl', '--no-pager']",0
process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['clone_mem', 'memory_write']",[],[],0
file,['/var/lib/docker/containers/6ef9843adde623753a24dff7caecc1d89562e6607c6651e75f5112c56404ad63/hosts'],"['/', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],0
file,['/var/lib/docker/containers/6ef9843adde623753a24dff7caecc1d89562e6607c6651e75f5112c56404ad63/resolv.conf'],"['/', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],0
